Symbol,Industry,Sector
NVDA,Semiconductors,Technology
AAPL,Consumer Electronics,Technology
GOOGL,Internet Content & Information,Communication Services
MSFT,Software - Infrastructure,Technology
AMZN,Internet Retail,Consumer Discretionary
TSM,Semiconductors,Technology
AVGO,Semiconductors,Technology
TSLA,Auto Manufacturers,Consumer Discretionary
META,Internet Content & Information,Communication Services
BRK.B,Insurance - Diversified,Financials
WMT,Discount Stores,Consumer Staples
LLY,Drug Manufacturers - General,Healthcare
JPM,Banks - Diversified,Financials
XOM,Oil & Gas Integrated,Energy
JNJ,Drug Manufacturers - General,Healthcare
V,Credit Services,Financials
ASML,Semiconductor Equipment & Materials,Technology
COST,Discount Stores,Consumer Staples
MA,Credit Services,Financials
CVX,Oil & Gas Integrated,Energy
MU,Semiconductors,Technology
ORCL,Software - Infrastructure,Technology
NFLX,Entertainment,Communication Services
ABBV,Drug Manufacturers - General,Healthcare
PLTR,Software - Infrastructure,Technology
BAC,Banks - Diversified,Financials
PG,Household & Personal Products,Consumer Staples
AMD,Semiconductors,Technology
KO,Beverages - Non-Alcoholic,Consumer Staples
CAT,Farm & Heavy Construction Machinery,Industrials
HD,Home Improvement Retail,Consumer Discretionary
CSCO,Communication Equipment,Technology
MRK,Drug Manufacturers - General,Healthcare
GE,Aerospace & Defense,Industrials
AZN,Drug Manufacturers - General,Healthcare
NVS,Drug Manufacturers - General,Healthcare
TM,Auto Manufacturers,Consumer Discretionary
BABA,Internet Retail,Consumer Discretionary
HSBC,Banks - Diversified,Financials
AMAT,Semiconductor Equipment & Materials,Technology
LRCX,Semiconductor Equipment & Materials,Technology
SHEL,Oil & Gas Integrated,Energy
RTX,Aerospace & Defense,Industrials
PM,Tobacco,Consumer Staples
MS,Capital Markets,Financials
GS,Capital Markets,Financials
WFC,Banks - Diversified,Financials
UNH,Healthcare Plans,Healthcare
TMUS,Telecom Services,Communication Services
GEV,Specialty Industrial Machinery,Industrials
LIN,Specialty Chemicals,Materials
IBM,Information Technology Services,Technology
RY,Banks - Diversified,Financials
MCD,Restaurants,Consumer Discretionary
INTC,Semiconductors,Technology
VZ,Telecom Services,Communication Services
PEP,Beverages - Non-Alcoholic,Consumer Staples
T,Telecom Services,Communication Services
AXP,Credit Services,Financials
TTE,Oil & Gas Integrated,Energy
SAP,Software - Application,Technology
MUFG,Banks - Diversified,Financials
NEE,Utilities - Regulated Electric,Utilities
KLAC,Semiconductor Equipment & Materials,Technology
AMGN,Drug Manufacturers - General,Healthcare
C,Banks - Diversified,Financials
ABT,Medical Devices,Healthcare
BHP,Other Industrial Metals & Mining,Materials
TMO,Diagnostics & Research,Healthcare
TXN,Semiconductors,Technology
TJX,Apparel Retail,Consumer Discretionary
GILD,Drug Manufacturers - General,Healthcare
CRM,Software - Application,Technology
DIS,Entertainment,Communication Services
COP,Oil & Gas Exploration & Production,Energy
SCHW,Capital Markets,Financials
ISRG,Medical Instruments & Supplies,Healthcare
NVO,Drug Manufacturers - General,Healthcare
SAN,Banks - Diversified,Financials
PFE,Drug Manufacturers - General,Healthcare
ARM,Semiconductors,Technology
DE,Farm & Heavy Construction Machinery,Industrials
TD,Banks - Diversified,Financials
BLK,Asset Management,Financials
APH,Electronic Components,Technology
ANET,Computer Hardware,Technology
ADI,Semiconductors,Technology
BA,Aerospace & Defense,Industrials
RIO,Other Industrial Metals & Mining,Materials
SHOP,Software - Application,Technology
LMT,Aerospace & Defense,Industrials
HON,Conglomerates,Industrials
UNP,Railroads,Industrials
PDD,Internet Retail,Consumer Discretionary
UBER,Software - Application,Technology
ETN,Specialty Industrial Machinery,Industrials
WELL,REIT - Healthcare Facilities,Real Estate
QCOM,Semiconductors,Technology
SCCO,Copper,Materials
BX,Asset Management,Financials
BUD,Beverages - Brewers,Consumer Staples
UL,Household & Personal Products,Consumer Staples
LOW,Home Improvement Retail,Consumer Discretionary
BKNG,Travel Services,Consumer Discretionary
APP,Advertising Agencies,Communication Services
DHR,Diagnostics & Research,Healthcare
PBR,Oil & Gas Integrated,Energy
PBR.A,Oil & Gas Integrated,Energy
SMFG,Banks - Diversified,Financials
SYK,Medical Devices,Healthcare
BTI,Tobacco,Consumer Staples
CB,Insurance - Property & Casualty,Financials
PLD,REIT - Industrial,Real Estate
HDB,Banks - Regional,Financials
SPGI,Financial Data & Stock Exchanges,Financials
BMY,Drug Manufacturers - General,Healthcare
BP,Oil & Gas Integrated,Energy
ENB,Oil & Gas Midstream,Energy
PANW,Software - Infrastructure,Technology
SONY,Consumer Electronics,Technology
ACN,Information Technology Services,Technology
GLW,Electronic Components,Technology
PGR,Insurance - Property & Casualty,Financials
